Id,Name,x,y,m1Name,m1Idx,m1Score,m2Name,m2Idx,m2Score,City,State,Coordinates
169,Reno/Tahoe International,0.6291,0.3947,Reno-Tahoe International Airport Reno,2590,90,Reno Tahoe International Airport Reno,3588,90,,,
170,Atlantic City International,0.8593,0.3951,Atlantic City International Airport Egg Harbor City,38,90,Atlantic City International Airport Atlantic City,3311,90,,,
171,Hulman Regional,0.7944,0.3951,,,0,Terre Haute International Hulman Field,3387,100,,,
172,Kansas City International,0.7567,0.3966,Kansas City International Airport Kansas City,1856,90,Kansas City International Airport Kansas City,3245,90,,,
173,Aspen-Pitkin Co/Sardy Field,0.6948,0.3973,Lakelan-Noble F. Lee Memerial Field Airport Woodruff,168,86,Aspen-Pitkin Co/Sardy Field Aspen,5267,95,,,
174,Baltimore-Washington International,0.8486,0.3978,Baltimore-Washington International Thurgood Mars Baltimore,452,90,Baltimore/Washington International Thurgood Marshall Airport Baltimore,3628,90,,,
175,Walker Field,0.6864,0.3983,Walker Field Airport Grand Junction,1017,90,Prince Albert Glass Field Prince Albert,99,86,,,
176,Cincinnati/Northern Kentucky I,0.8079,0.399,Greater Cincinnati International Airport Hebron,654,86,Cincinnati Northern Kentucky International Airport Cincinnati,3275,90,,,
177,Washington Dulles International,0.8446,0.4,Dulles International Airport Washington,1229,95,Washington Dulles International Airport Washington,3497,90,,,
178,Lake Tahoe,0.628,0.4005,Duncan-Quamichan Lake Airport Duncan,778,86,Lake Tahoe Airport South Lake Tahoe,3987,90,,,
179,Washington National,0.8467,0.4008,Washington National Airport Arlington,700,90,Ronald Reagan Washington National Airport Washington,3307,90,,,
180,Columbia Regional,0.7694,0.4012,Columbia Regional Airport Columbia,610,90,Columbia Regional Airport Columbia,3502,90,,,
181,City Of Colorado Springs Muni,0.7059,0.4013,City of Colorado Springs Municipal Airport Colorado Springs,609,90,City of Colorado Springs Municipal Airport Colorado Springs,3599,90,,,
182,Lambert-St Louis International,0.7789,0.4018,Lambert St Louis International Airport St. Louis,2841,90,Lambert St Louis International Airport St. Louis,3462,90,,,
183,Sacramento Metropolitan,0.6198,0.4023,Baton Rouge Metropolitan Airport Baton Rouge,424,0,Sacramento International Airport,3815,86,,,
184,Gunnison County,0.6945,0.4039,Gunnison County Airport Gunnison,1075,90,Lethbridge County Airport Lethbridge,114,86,,,
185,Sonoma County,0.6136,0.4041,Sonoma County Airport Windsor,2845,90,Charles M. Schulz Sonoma County Airport Santa Rosa,5258,0,,,
186,Yeager,0.8235,0.4054,Yeager Airport Charleston,629,90,Yeager Airport Charleston,4001,90,,,
187,Tri-State/Milton J.Ferguson Fi,0.8186,0.4055,Tri State Walker Long Field Airport Huntington,1204,0,Tri-State/Milton J. Ferguson Field Huntington,4407,87,,,
188,Pueblo Memorial,0.7069,0.4062,Pueblo Memorial Airport Pueblo,2455,90,Pueblo Memorial Airport Pueblo,3313,90,,,
189,Louisville International,0.8024,0.4073,Louisville International Airport Louisville,3857,90,Louisville International Standiford Field Louisville,3778,90,,,
190,Charlottesville-Albemarle,0.8395,0.4077,Charlottesville Albemarle Airport Earlysville,538,90,Charlottesville Albemarle Airport Charlottesville VA,3779,90,,,
191,Evansville Regional,0.7933,0.4086,Evansville Regional Airport Evansville,882,90,Evansville Regional Airport Evansville,3782,90,,,
192,Blue Grass,0.8082,0.4086,Blue Grass Field Lexington,1692,90,Blue Grass Airport Lexington KY,3781,90,,,
193,Stockton Metropolitan,0.6216,0.41,Stockton Metropolitan Airport Stockton,2661,90,Stockton Metropolitan Airport Stockton,3586,90,,,
194,Greenbrier Valley,0.8296,0.4103,Greenbrier Valley Airport Lewisburg,1806,90,Greenbrier Valley Airport Lewisburg,5241,90,,,
195,Williamson County Regional,0.7858,0.4114,Williamson County Regional Airport Marion,2044,90,Williamson County Regional Airport Marion,5162,90,,,
196,Forney Aaf,0.7698,0.4115,Waynesville Regional Airport At Forney Field Fort Leonard Wood,2921,86,Waynesville-St. Robert Regional Forney field,3228,0,,,
197,Metropolitan Oakland International,0.6166,0.4117,General Juan N Alvarez International Airport Acapulco,27,86,Metropolitan Oakland International Airport Oakland,3240,95,,,
198,Wichita Mid-Continent,0.7429,0.4123,Wichita Mid-Continent Airport Wichita,1240,90,Wichita Mid Continent Airport Wichita,3244,90,,,
199,Modesto City-County--Harry Sha,0.6231,0.4126,Atlantic City International Airport Egg Harbor City,38,86,Modesto City Co-Harry Sham Field,3596,100,,,
200,Mammoth Lakes,0.6339,0.4126,Mammoth June Lakes Airport Mammoth Lakes,1961,90,Mammoth Yosemite Airport Mammoth Lakes,5324,90,,,
201,San Francisco International,0.6159,0.4126,San Francisco International Airport San Francisco,2702,90,San Francisco International Airport San Francisco,3256,90,,,
202,Richmond International,0.8453,0.4137,Richmond Richmond,3833,95,Richmond International Airport Richmond,3392,90,,,
203,San Jose International,0.6181,0.4151,Norman Y Mineta San Jose International Airport San Jose,2736,90,Norman Y. Mineta San Jose International Airport San Jose,3529,90,,,
204,Roanoke Regional/Woodrum Field,0.8318,0.4154,Alamogordo White Sands Regional Airport Alamogordo,114,86,Roanoke–Blacksburg Regional Airport,3780,100,,,
205,Merced Municipal/Macready Fiel,0.6253,0.4158,City of Colorado Springs Municipal Airport Colorado Springs,609,86,Merced Regional Macready Field,5353,100,,,
206,Springfield Regional,0.7635,0.4162,Springfield Regional Airport Springfield,2706,90,Castlegar/West Kootenay Regional Airport Castlegar,32,86,,,
207,Cape Girardeau Regional,0.7829,0.4164,Southwest Georgia Regional Airport Albany,25,86,Cape Girardeau Regional Airport Cape Girardeau,4393,90,,,
208,Durango-La Plata County,0.6903,0.4171,Durango la Plata County Airport Durango,765,90,Durango La Plata County Airport Durango,3496,90,,,
